uid,civilite,prenom,nom,date_naissance,ville_naissance,profession_declaree,insee_cat_socpro,insee_fam_socpro,groupe_politique,departement,circonscription
PA1008,M.,Alain,David,1949-06-02,Libourne,Ingénieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Gironde,4
PA1567,M.,Jérôme,Guedj,1972-01-23,Pantin,Inspecteur général des affaires sociales,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Essonne,6
PA1592,M.,David,Habib,1961-03-16,Paris,Cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Pyrénées-Atlantiques,3
PA1630,M.,Michel,Herbillon,1951-03-06,Saint-Mandé,Cadre supérieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Val-de-Marne,8
PA1654,M.,François,Hollande,1954-08-12,Rouen,Conseiller référendaire à la Cour des comptes,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Corrèze,1
PA227089,Mme,Valérie,Létard,1962-10-13,Orchies,Cadre de la fonction publique territoriale,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Nord,21
PA266793,M.,Jean-Yves,Bony,1955-03-11,Aurillac,Exploitant agricole,Agriculteurs exploitants,Agriculteurs exploitants,Droite Républicaine,Cantal,2
PA266797,M.,Philippe,Gosselin,1966-10-23,Carentan,Maître de conférences à Sciences Po,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Manche,1
PA266808,M.,Vincent,Rolland,1970-02-01,Moutiers,Collaborateur parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Savoie,2
PA267042,M.,Yannick,Favennec-Bécot,1958-08-12,Chaudron-en-Mauges,Directeur de cabinet,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Mayenne,3
PA267200,M.,Sébastien,Huyghe,1969-10-25,Béthune,Notaire,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Nord,5
PA267285,M.,Laurent,Wauquiez,1975-04-12,Lyon,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Haute-Loire,1
PA267318,M.,Jean-Carles,Grelier,1966-03-15,Le Mans,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Sarthe,5
PA267763,M.,Jean-Pierre,Bataille,1963-10-24,Hazebrouck,Pharmacien,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Nord,15
PA267780,Mme,Agnès,Firmin Le Bodo,1968-11-20,Le Havre,Pharmacien,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Seine-Maritime,7
PA267794,Mme,Michèle,Tabarot,1962-10-13,Alicante,Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Droite Républicaine,Alpes-Maritimes,9
PA2940,Mme,Dominique,Voynet,1958-11-04,Montbéliard,Médecin,Professions libérales,Cadres et professions intellectuelles supérieures,Écologiste et Social,Doubs,2
PA2952,M.,Jean-Luc,Warsmann,1965-10-22,Villers Semeuse,Directeur de mutuelle,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Ardennes,3
PA309643,Mme,Véronique,Besse,1963-08-11,La Roche-sur-Yon,Journaliste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Non inscrit,Vendée,4
PA330008,M.,Xavier,Breton,1962-11-25,Darney,Cadre territorial,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Ain,1
PA330240,M.,Éric,Ciotti,1965-09-28,Nice,(33) - Cadre de la fonction publique,Sans profession déclarée,Sans profession déclarée,Union des droites pour la République,Alpes-Maritimes,1
PA330909,M.,Vincent,Descoeur,1962-12-13,Aurillac,Professeur agrégé de biologie,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Cantal,1
PA331582,M.,Philippe,Vigier,1958-02-03,Valence,Biologiste A.I.H.P.,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Eure-et-Loir,4
PA331973,Mme,Pascale,Got,1961-04-01,Royan,Journaliste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Gironde,5
PA332228,M.,Thierry,Benoit,1966-09-13,Fougères,Représentant de commerce,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Ille-et-Vilaine,6
