uid,civilite,prenom,nom,date_naissance,ville_naissance,groupe_politique,departement,circonscription,profession_declaree,insee_cat_socpro,insee_fam_socpro,wikidata_url,frwiki_url,plus_haut_diplome,domaines_etudes,a_travaille_prive,a_travaille_public,carriere_politique_seule,profil_carriere,confiance,notes
PA793214,Mme,Audrey,Abadie-Amiel,1974-11-16,Toulouse,"Libertés, Indépendants, Outre-mer et Territoires",Ariège,2,Enseignante,Professeurs et professions scientifiques supérieures,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q136485468,https://fr.wikipedia.org/wiki/Audrey_Abadie-Amiel,bac+5,education | lettres-sciences humaines,0,1,0,public_uniquement,moyenne,A aussi été collaboratrice parlementaire juste avant de devenir députée elle-même.
PA795228,Mme,Nadège,Abomangoli,1975-09-15,Brazzaville,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,10,Contrôleure interne et risk manager,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q63765036,https://fr.wikipedia.org/wiki/Nad%C3%A8ge_Abomangoli,bac+5,communication-journalisme | lettres-sciences humaines | sciences politiques,0,1,0,public_uniquement,haute,A aussi été collaboratrice parlementaire au Sénat entre deux postes à la Mairie de Paris.
PA794278,M.,Xavier,Albertini,1970-01-28,Royan,Horizons & Indépendants,Marne,1,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q61951618,https://fr.wikipedia.org/wiki/Xavier_Albertini,bac+5,droit,1,0,0,prive_uniquement,moyenne,Diplôme d'avocat inféré de sa profession déclarée (non détaillé explicitement dans la source); a aussi été assistant parlementaire au début de sa carrière.
PA793262,M.,Laurent,Alexandre,1973-06-09,Decazeville,La France insoumise - Nouveau Front Populaire,Aveyron,2,Ouvrier qualifié de type industriel,Ouvriers qualifiés de type industriel,Ouvriers,http://www.wikidata.org/entity/Q98249705,https://fr.wikipedia.org/wiki/Laurent_Alexandre_(homme_politique),bac+2,ingenierie,1,0,0,prive_uniquement,haute,
PA793992,M.,Henri,Alfandari,1979-10-02,Chambray-lès-Tours,Horizons & Indépendants,Indre-et-Loire,3,"Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q98238527,https://fr.wikipedia.org/wiki/Henri_Alfandari,bac_ou_moins,economie-gestion,1,0,0,prive_uniquement,haute,"Selon Mag'Centre, il part étudier l'économie-gestion à Paris à 18 ans mais n'achève pas ce cursus (aucun diplôme obtenu, d'où bac_ou_moins) avant de bifurquer vers le cinéma documentaire (assistanat de production/décoration, réalisation). Sa déclaration HATVP confirme ensuite un poste salarié de directeur de la communication du Groupe/Holding Saint-Gatien (clinique privée familiale) de janvier 2016 à février 2021, avec rémunérations déclarées. Carrière donc intégralement privée. Institution précise des études non retrouvée."
PA841067,M.,Alexandre,Allegret-Pilot,1989-01-11,Annecy,Union des droites pour la République,Gard,5,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q126693963,https://fr.wikipedia.org/wiki/Alexandre_Allegret-Pilot,bac+5,gestion-commerce | sciences politiques | sciences,1,1,0,mixte_public_prive,haute,
PA840665,Mme,Marie-José,Allemand,1970-01-27,Manosque,Socialistes et apparentés,Hautes-Alpes,1,(12) - Agriculteur sur moyenne exploitation,Agriculteurs exploitants,Agriculteurs exploitants,http://www.wikidata.org/entity/Q126688999,https://fr.wikipedia.org/wiki/Marie-Jos%C3%A9_Allemand,inconnu,,1,0,0,prive_uniquement,haute,"Aucune information sur son parcours d'études trouvée malgré plusieurs recherches ciblées (formation agricole, BTSA, lycée agricole). Carrière agricole en revanche bien documentée : conjointe collaboratrice puis exploitante dans le GAEC familial (élevage ovin), présidente de longue date de l'association Ciel d'Azur. Profession agricole = liberal_independant, compte comme privé selon la convention du schéma. - Aucune nouvelle information sur son parcours d'études : la fiche HATVP locale (activités/mandats/dirigeant/bénévole) ne mentionne aucune formation, l'infobox du wikitext brut Wikipédia laisse le champ « université » vide, et la fiche AN se limite à la catégorie socio-professionnelle déclarée. Carrière enrichie par la lecture directe du JSON HATVP local : confirme le statut d'agricultrice depuis 04/2021, ajoute une fonction de dirigeante du Parti socialiste des Hautes-Alpes depuis 01/2018 (non présente dans le lot précédent), et situe le début de son rôle de dirigeante de l'association Ciel d'Azur en 01/2018 (cohérent avec « plus de 20 ans » si elle était déjà impliquée avant sans être déclarante). Diplôme laissé à « inconnu » : aucune profession réglementée ne s'applique (agricultrice = liberal_independant, ne présume aucun niveau de diplôme précis)."
PA793432,M.,Franck,Allisio,1980-08-04,Marseille,Rassemblement National,Bouches-du-Rhône,12,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q47539353,https://fr.wikipedia.org/wiki/Franck_Allisio,bac+5,droit | sciences politiques,0,0,1,politique_principalement,moyenne,Déclare une 'profession libérale' mais la biographie ne décrit qu'une carrière de collaborateur politique.
PA841207,M.,Charles,Alloncle,1993-10-21,Nancy,Union des droites pour la République,Hérault,9,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q126539921,https://fr.wikipedia.org/wiki/Charles_Alloncle,bac+5,sciences politiques | gestion-commerce,,,1,politique_principalement,moyenne,"La profession déclarée (cadre administratif et commercial d'entreprise) n'est pas détaillée dans la biographie, qui ne mentionne que des engagements politiques et partisans."
PA794906,M.,Gabriel,Amard,1967-05-05,Juvisy-sur-Orge,La France insoumise - Nouveau Front Populaire,Rhône,6,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3093583,https://fr.wikipedia.org/wiki/Gabriel_Amard,inconnu,,1,1,0,mixte_public_prive,haute,"Aucun diplôme ou établissement d'études retrouvé malgré plusieurs recherches (site personnel gabrielamard.fr, presse, biographies en ligne) ; son site 'Qui suis-je' ne mentionne aucune formation. La déclaration HATVP documente en revanche précisément son activité salariée de directeur de formation au FDC (société privée de formation des élus locaux) de 2019 à 2022, complétée par une mission ponctuelle rémunérée pour le CNFPT (organisme public) en 2019. Avant cela, longue carrière élective locale (maire de Viry-Châtillon 1995-2006, président d'agglomération 2004-2014) non comptée comme 'carrière professionnelle' au sens du schéma. - Aucun diplôme ni établissement d'études retrouvé. Le wikitext brut Wikipédia apporte un détail biographique nouveau (père expert-comptable, mère magistrate, scoutisme laïque aux Éclaireuses Éclaireurs de France) mais rien sur son propre parcours scolaire ou universitaire ; le champ infobox « université » n'existe même pas dans son modèle d'infobox. Fiche AN vérifiée : ne donne que la catégorie socio-professionnelle déclarée. Relecture du JSON HATVP local : confirme précisément l'activité de directeur de formation au FDC, avec une déclaration antérieure indiquant un début en janvier 2016 (plus ancien que les janvier 2019 retenus précédemment) et la mission ponctuelle rémunérée au CNFPT en 2019. N'a pas re-testé gabrielamard.fr ni la presse déjà consultée par le chercheur précédent (sources jugées épuisées)."
