uid,wikidata_url,frwiki_url,education_institutions,degrees,majors,occupations,employers,education_detail
0,http://www.wikidata.org/entity/Q135481668,,,,,,,
1001,http://www.wikidata.org/entity/Q960474,https://fr.wikipedia.org/wiki/Marc-Philippe_Daubresse,Institut industriel du Nord | université Lille-I,,,ingénieur ou ingénieure | personnalité politique,,Institut industriel du Nord | université Lille-I
1002,http://www.wikidata.org/entity/Q3573596,https://fr.wikipedia.org/wiki/Yves_Dauge,,,,personnalité politique,,
10031,http://www.wikidata.org/entity/Q1456034,https://fr.wikipedia.org/wiki/Jules_Angl%C3%A8s,École polytechnique,,,personnalité politique,,École polytechnique
1008,http://www.wikidata.org/entity/Q30447134,https://fr.wikipedia.org/wiki/Alain_David_(homme_politique),,,,anciens cadres | pensionné | personnalité politique,,
1009,http://www.wikidata.org/entity/Q3295765,https://fr.wikipedia.org/wiki/Martine_David,,,,personnalité politique,,
1010,http://www.wikidata.org/entity/Q2897742,https://fr.wikipedia.org/wiki/Bernard_Davoine,,,,personnalité politique,,
1012,http://www.wikidata.org/entity/Q1534217,https://fr.wikipedia.org/wiki/Charles_de_La_Verpilli%C3%A8re,Institut d'études politiques de Paris | École nationale d'administration,,,grand corps de l'État | personnalité politique,,Institut d'études politiques de Paris | École nationale d'administration
1013,http://www.wikidata.org/entity/Q3167962,"https://fr.wikipedia.org/wiki/Jean-Michel_Boucheron_(homme_politique,_1946)",,,,personnalité politique,,
1020,http://www.wikidata.org/entity/Q2897761,https://fr.wikipedia.org/wiki/Bernard_Debr%C3%A9,cours Hattemer | lycée Janson-de-Sailly | université Pierre-et-Marie-Curie,doctorat,,médecin | personnalité politique | professeur d'université | urologue,Assistance publique – Hôpitaux de Paris | hôpital Cochin | université Paris-Descartes,cours Hattemer | lycée Janson-de-Sailly | université Pierre-et-Marie-Curie (doctorat)
1022,http://www.wikidata.org/entity/Q713235,https://fr.wikipedia.org/wiki/Jean-Louis_Debr%C3%A9,Institut d'études politiques de Paris | cours Hattemer | université Paris-Panthéon-Assas | École nationale de la magistrature,,,juge | magistrat ou magistrate | personnalité politique | politologue,,Institut d'études politiques de Paris | cours Hattemer | université Paris-Panthéon-Assas | École nationale de la magistrature
1023,http://www.wikidata.org/entity/Q3164934,https://fr.wikipedia.org/wiki/Jean-Claude_Decagny,,,,personnalité politique,,
1025,http://www.wikidata.org/entity/Q3379696,https://fr.wikipedia.org/wiki/Philippe_Decaudin,,,,personnalité politique,,
1029,http://www.wikidata.org/entity/Q892174,https://fr.wikipedia.org/wiki/Bernard_Deflesselles,,,,ingénieur ou ingénieure | personnalité politique,,
1030,http://www.wikidata.org/entity/Q3169180,https://fr.wikipedia.org/wiki/Jean-Pierre_Defontaine,,,,personnalité politique,,
1031,http://www.wikidata.org/entity/Q3265461,https://fr.wikipedia.org/wiki/Lucien_Degauchy,,,,anciens employés | pensionné | personnalité politique,,
1032,http://www.wikidata.org/entity/Q3367366,https://fr.wikipedia.org/wiki/Pascal_Deguilhem,université Bordeaux-II,,,enseignant ou enseignante du secondaire | personnalité politique,,université Bordeaux-II
1033,http://www.wikidata.org/entity/Q2865065,https://fr.wikipedia.org/wiki/Arthur_Dehaine,,,,personnalité politique,,
1034,http://www.wikidata.org/entity/Q3288862,https://fr.wikipedia.org/wiki/Marcel_Dehoux,,,,personnalité politique,,
1039,http://www.wikidata.org/entity/Q3169187,https://fr.wikipedia.org/wiki/Jean-Pierre_Delalande,,,,personnalité politique,,
1046,http://www.wikidata.org/entity/Q3081384,https://fr.wikipedia.org/wiki/Francis_Delattre,,,,personnalité politique,,
1048,http://www.wikidata.org/entity/Q129774,https://fr.wikipedia.org/wiki/Michel_Delebarre,,,,fonctionnaire | personnalité politique,,
1058,http://www.wikidata.org/entity/Q3430701,https://fr.wikipedia.org/wiki/Richard_Dell%27Agnola,,,,cadres de la fonction publique | pensionné | personnalité politique,,
1062,http://www.wikidata.org/entity/Q3369378,https://fr.wikipedia.org/wiki/Patrick_Delnatte,université de Lille,,,personnalité politique,,université de Lille
1063,http://www.wikidata.org/entity/Q3171647,https://fr.wikipedia.org/wiki/Jean_Delobel,,,,personnalité politique,,
1066,http://www.wikidata.org/entity/Q3084412,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Deluga,,,,"agent général ou agente générale d'assurance | anciens artisans, commerçants, chefs d'entreprise | personnalité politique",,
1068,http://www.wikidata.org/entity/Q1685036,https://fr.wikipedia.org/wiki/Jean-Marie_Demange,,,,criminel ou criminelle | personnalité politique,,
1077,http://www.wikidata.org/entity/Q2597807,https://fr.wikipedia.org/wiki/Xavier_Deniau,faculté de droit de Paris | lycée Buffon | lycée Pasteur de Neuilly-sur-Seine | lycée Saint-Louis-de-Gonzague,,,personnalité politique | écrivain ou écrivaine,,faculté de droit de Paris | lycée Buffon | lycée Pasteur de Neuilly-sur-Seine | lycée Saint-Louis-de-Gonzague
